
****
Starting LogProcess on   at Tue  7 Jun 23:49:51 CEST 2016
[Wed  8 Jun 00:33:43 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.252  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:33:58 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:34:06 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.252  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:34:31 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.253  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:34:49 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.253  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:35:10 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:35:31 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.252  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:35:45 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.252  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:35:53 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.250  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:36:01 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.250  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:36:11 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:36:28 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.252  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:36:45 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.250 Filesize is 20 MB
